Player,Span,Mat,Inns,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I,Team,Start Date,End Date
BR Sharath,2024-2024,1,1,1,1,0,1,0,1 (1ct 0st),1.0,GT,2013-01-01,2025-03-01
KS Williamson,2023-2024,3,3,1,1,0,0,1,1 (1ct 0st),0.333,GT,2013-01-01,2025-03-01
J Yadav,2023-2023,1,1,1,1,0,0,1,1 (1ct 0st),1.0,GT,2013-01-01,2025-03-01
UT Yadav,2024-2024,7,7,1,1,0,0,1,1 (1ct 0st),0.142,GT,2013-01-01,2025-03-01
VR Aaron,2022-2022,2,2,0,0,0,0,0,0,0.0,GT,2013-01-01,2025-03-01
Azmatullah Omarzai,2024-2024,7,7,0,0,0,0,0,0,0.0,GT,2013-01-01,2025-03-01
Kartik Tyagi,2024-2024,1,1,0,0,0,0,0,0,0.0,GT,2013-01-01,2025-03-01
S Sandeep Warrier,2024-2024,5,5,0,0,0,0,0,0,0.0,GT,2013-01-01,2025-03-01
MJ Suthar,2024-2024,1,1,0,0,0,0,0,0,0.0,GT,2013-01-01,2025-03-01
RR Pant,2016-2024,111,111,98,75,23,72,3,4 (2ct 2st),0.882,DC,2013-01-01,2025-03-01
AR Patel,2019-2024,82,82,47,47,0,0,47,3 (3ct 0st),0.573,DC,2013-01-01,2025-03-01
SS Iyer,2015-2021,87,87,34,34,0,0,34,2 (2ct 0st),0.39,DC,2013-01-01,2025-03-01
DA Warner,2013-2024,50,50,24,24,0,0,24,2 (2ct 0st),0.48,DC,2013-01-01,2025-03-01
K Rabada,2017-2021,50,50,23,23,0,0,23,3 (3ct 0st),0.46,DC,2013-01-01,2025-03-01
S Dhawan,2019-2021,49,49,19,19,0,0,19,3 (3ct 0st),0.387,DC,2013-01-01,2025-03-01
CH Morris,2016-2019,34,34,19,19,0,0,19,2 (2ct 0st),0.558,DC,2013-01-01,2025-03-01
PP Shaw,2018-2024,79,79,18,18,0,0,18,2 (2ct 0st),0.227,DC,2013-01-01,2025-03-01
KM Jadhav,2013-2015,36,36,17,13,4,10,3,2 (2ct 0st),0.472,DC,2013-01-01,2025-03-01
Lalit Yadav,2021-2024,27,27,16,16,0,0,16,2 (2ct 0st),0.592,DC,2013-01-01,2025-03-01
JP Duminy,2014-2016,38,38,13,13,0,0,13,3 (3ct 0st),0.342,DC,2013-01-01,2025-03-01
TA Boult,2018-2019,19,19,11,11,0,0,11,3 (3ct 0st),0.578,DC,2013-01-01,2025-03-01
SO Hetmyer,2020-2021,26,26,11,11,0,0,11,3 (3ct 0st),0.423,DC,2013-01-01,2025-03-01
S Nadeem,2013-2018,44,44,11,11,0,0,11,2 (2ct 0st),0.25,DC,2013-01-01,2025-03-01
